neighbourhood_cleansed,latitude,longitude
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92986,-77.04207
"Dupont Circle, Connecticut Avenue/K Street",38.91435,-77.04064
"Kalorama Heights, Adams Morgan, Lanier Heights",38.92098,-77.03805
"Capitol Hill, Lincoln Park",38.88488,-76.98904
"Brookland, Brentwood, Langdon",38.91969009148916,-76.98726440199788
"Shaw, Logan Circle",38.90982,-77.03225
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93345,-77.02832
"Union Station, Stanton Park, Kingman Park",38.89267,-76.9939
"Ivy City, Arboretum, Trinidad, Carver Langston",38.90353,-76.99023
"Brookland, Brentwood, Langdon",38.91963,-76.98146
"Union Station, Stanton Park, Kingman Park",38.90501,-76.99994
"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.93469,-77.06872
"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.92569,-77.05502
"Union Station, Stanton Park, Kingman Park",38.90141,-77.00233
"Union Station, Stanton Park, Kingman Park",38.89407,-76.97545
"Shaw, Logan Circle",38.90708,-77.02728
"Friendship Heights, American University Park, Tenleytown",38.94285,-77.07665
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91587,-77.01432
"Capitol View, Marshall Heights, Benning Heights",38.88296,-76.941
"Capitol Hill, Lincoln Park",38.88426,-76.97856
"Union Station, Stanton Park, Kingman Park",38.89562,-76.99759
"Kalorama Heights, Adams Morgan, Lanier Heights",38.91936,-77.03817
"Georgetown, Burleith/Hillandale",38.91356,-77.06409
"Capitol Hill, Lincoln Park",38.88893117823924,-76.96858955755263
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",38.89239,-76.91329
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",38.8923,-76.91462
"Brightwood Park, Crestwood, Petworth",38.93641,-77.02515
"Brightwood Park, Crestwood, Petworth",38.93712,-77.02311
"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.92995,-77.09986
"Union Station, Stanton Park, Kingman Park",38.89426,-76.98875
"Capitol Hill, Lincoln Park",38.88947,-77.00112
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93014,-77.03819
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9166,-77.01353
"Howard University, Le Droit Park, Cardozo/Shaw",38.91701,-77.01559
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91551,-77.01356
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91512,-77.01401
"Howard University, Le Droit Park, Cardozo/Shaw",38.91518,-77.01494
"Takoma, Brightwood, Manor Park",38.96849,-77.02665
"Dupont Circle, Connecticut Avenue/K Street",38.91503,-77.0406
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91173,-77.00862
"Shaw, Logan Circle",38.90593,-77.02447
"Dupont Circle, Connecticut Avenue/K Street",38.91502,-77.04245
"Brookland, Brentwood, Langdon",38.92153,-76.98008
"Brightwood Park, Crestwood, Petworth",38.94068,-77.02655
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91575,-77.00901
"Kalorama Heights, Adams Morgan, Lanier Heights",38.9139,-77.04834
"Georgetown, Burleith/Hillandale",38.90579,-77.06103
"Dupont Circle, Connecticut Avenue/K Street",38.91435,-77.04064
"Colonial Village, Shepherd Park, North Portal Estates",38.98326,-77.04009
"Colonial Village, Shepherd Park, North Portal Estates",38.98452,-77.04007
"Colonial Village, Shepherd Park, North Portal Estates",38.9826,-77.04024
"Takoma, Brightwood, Manor Park",38.95734,-77.01655
"Brightwood Park, Crestwood, Petworth",38.95877,-77.02372
"Dupont Circle, Connecticut Avenue/K Street",38.91367,-77.0424
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92904,-77.01963
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.03313
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90411,-77.01351
"Dupont Circle, Connecticut Avenue/K Street",38.91435,-77.04064
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87083,-77.01369
"Shaw, Logan Circle",38.91243,-77.021
"Dupont Circle, Connecticut Avenue/K Street",38.91424,-77.0371
"Douglas, Shipley Terrace",38.85097,-76.9794
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93483,-77.03118
"Georgetown, Burleith/Hillandale",38.91022,-77.0628
"Dupont Circle, Connecticut Avenue/K Street",38.91418,-77.03863
"Dupont Circle, Connecticut Avenue/K Street",38.90968,-77.03692
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92712,-77.02932
"Dupont Circle, Connecticut Avenue/K Street",38.91435,-77.04064
"Capitol Hill, Lincoln Park",38.88488,-76.98904
"Georgetown, Burleith/Hillandale",38.91262,-77.07049
"Brightwood Park, Crestwood, Petworth",38.93639,-77.04329
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90343,-77.02692
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.03313
"Georgetown, Burleith/Hillandale",38.90506,-77.06255
"Takoma, Brightwood, Manor Park",38.96614,-77.0319
"Brightwood Park, Crestwood, Petworth",38.94417,-77.03488
"Brookland, Brentwood, Langdon",38.92383,-76.9837
"Union Station, Stanton Park, Kingman Park",38.90164,-77.00206
"Union Station, Stanton Park, Kingman Park",38.89784,-77.00262
"Ivy City, Arboretum, Trinidad, Carver Langston",38.90593,-76.99748
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91782,-77.00959
"Union Station, Stanton Park, Kingman Park",38.89703,-76.99279
"Capitol Hill, Lincoln Park",38.89034,-77.00329
"Capitol Hill, Lincoln Park",38.89053,-77.00139
"River Terrace, Benning, Greenway, Dupont Park",38.89071,-76.94866
"Kalorama Heights, Adams Morgan, Lanier Heights",38.92264,-77.0455
"Brookland, Brentwood, Langdon",38.9266,-76.98704
"Union Station, Stanton Park, Kingman Park",38.89282,-77.00072
"Dupont Circle, Connecticut Avenue/K Street",38.90587,-77.04486
"Dupont Circle, Connecticut Avenue/K Street",38.91502,-77.04245
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92372,-77.0289
"Capitol Hill, Lincoln Park",38.88642,-77.0029
"Capitol Hill, Lincoln Park",38.8817,-76.99548
"Shaw, Logan Circle",38.91223,-77.0242
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91166,-77.01039
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.90987,-77.01164
"Kalorama Heights, Adams Morgan, Lanier Heights",38.92711,-77.04306
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93505,-77.04363
"Union Station, Stanton Park, Kingman Park",38.90116,-77.00373
"Brookland, Brentwood, Langdon",38.9263,-76.9802
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.90821,-77.01388
"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.92256,-77.05624
"Capitol Hill, Lincoln Park",38.88559,-76.99939
"Capitol Hill, Lincoln Park",38.88414,-76.99663
"Capitol Hill, Lincoln Park",38.88974,-76.99921
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89537,-77.02303
"Brightwood Park, Crestwood, Petworth",38.94967,-77.02193
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9115,-77.00941
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91897,-77.01203
"Union Station, Stanton Park, Kingman Park",38.89453,-76.99797
"Georgetown, Burleith/Hillandale",38.90832,-77.06227
"Capitol View, Marshall Heights, Benning Heights",38.8885,-76.91813
"Georgetown, Burleith/Hillandale",38.90802,-77.05922
"West End, Foggy Bottom, GWU",38.89854,-77.04913
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91536,-77.01156
"Takoma, Brightwood, Manor Park",38.96664,-77.0226
"Capitol Hill, Lincoln Park",38.88421,-76.99613
"West End, Foggy Bottom, GWU",38.89881,-77.05269
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91262,-77.01613
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91722,-77.00295
"Brightwood Park, Crestwood, Petworth",38.9598,-77.03141
"Shaw, Logan Circle",38.91282,-77.03093
"Capitol Hill, Lincoln Park",38.88273,-76.99671
"Union Station, Stanton Park, Kingman Park",38.90569,-77.00077
"Union Station, Stanton Park, Kingman Park",38.90576,-76.99968
"Kalorama Heights, Adams Morgan, Lanier Heights",38.92038,-77.04497
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91069030761719,-77.00743103027344
"Georgetown, Burleith/Hillandale",38.91272,-77.0622
"Dupont Circle, Connecticut Avenue/K Street",38.91435,-77.04064
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91619,-77.00279
"Dupont Circle, Connecticut Avenue/K Street",38.91511,-77.042
"Union Station, Stanton Park, Kingman Park",38.8978,-76.9872
"Union Station, Stanton Park, Kingman Park",38.89612,-76.98844
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90625,-77.01207
"Brookland, Brentwood, Langdon",38.9276,-76.98951
"Georgetown, Burleith/Hillandale",38.91198,-77.0616
"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",38.8636,-76.95032
"Kalorama Heights, Adams Morgan, Lanier Heights",38.92184,-77.04594
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91564,-77.01268
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91353,-77.01583
"Shaw, Logan Circle",38.91172,-77.02926
"Georgetown, Burleith/Hillandale",38.91134,-77.06211
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92434,-76.99732
"Georgetown, Burleith/Hillandale",38.90806,-77.05656
"Shaw, Logan Circle",38.90977,-77.01967
"West End, Foggy Bottom, GWU",38.90743,-77.04929
"Shaw, Logan Circle",38.91061,-77.02235
"Shaw, Logan Circle",38.91038,-77.02221
"Union Station, Stanton Park, Kingman Park",38.89243,-76.98575
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.90834,-77.01523
"Shaw, Logan Circle",38.91131,-77.02105
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92921,-77.02745
"Friendship Heights, American University Park, Tenleytown",38.94522,-77.07513
"Shaw, Logan Circle",38.90744,-77.03171
"Union Station, Stanton Park, Kingman Park",38.89997,-76.99972
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93026,-77.02364
"Union Station, Stanton Park, Kingman Park",38.89314,-77.00069
"Georgetown, Burleith/Hillandale",38.90673,-77.05918
"Brookland, Brentwood, Langdon",38.92866,-76.99099
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91585,-77.01159
"Eastland Gardens, Kenilworth",38.90724,-76.94329
"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.92838,-77.10186
"Eastland Gardens, Kenilworth",38.9054,-76.94227
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93084,-77.03265
"Brightwood Park, Crestwood, Petworth",38.94223,-77.02337
"Brightwood Park, Crestwood, Petworth",38.94027,-77.02253
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9116,-77.01055
"Capitol Hill, Lincoln Park",38.88306,-77.00267
"Union Station, Stanton Park, Kingman Park",38.89977,-76.9991
"Union Station, Stanton Park, Kingman Park",38.89715,-76.98665
"Brightwood Park, Crestwood, Petworth",38.95818,-77.02077
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93025,-77.04366
"Howard University, Le Droit Park, Cardozo/Shaw",38.9145,-77.0169
"Takoma, Brightwood, Manor Park",38.96677,-77.02646
"Capitol Hill, Lincoln Park",38.8822,-76.9876
"Brightwood Park, Crestwood, Petworth",38.94185,-77.02352
"Takoma, Brightwood, Manor Park",38.96613,-77.03057
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91587,-77.00402
"Capitol Hill, Lincoln Park",38.88236,-76.98688
"Union Station, Stanton Park, Kingman Park",38.89904,-76.99924
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91753,-77.01121
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92272,-77.02797
"Howard University, Le Droit Park, Cardozo/Shaw",38.91583,-77.01681
"Shaw, Logan Circle",38.91138,-77.03019
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87568,-77.00975
"River Terrace, Benning, Greenway, Dupont Park",38.89174,-76.94697
"Howard University, Le Droit Park, Cardozo/Shaw",38.91575,-77.01493
"Howard University, Le Droit Park, Cardozo/Shaw",38.91447,-77.025
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.8752,-77.01073
"North Michigan Park, Michigan Park, University Heights",38.94246,-76.97572
"Kalorama Heights, Adams Morgan, Lanier Heights",38.9188,-77.04332
"Georgetown, Burleith/Hillandale",38.91397,-77.07464
"North Michigan Park, Michigan Park, University Heights",38.93971,-76.99267
"Brightwood Park, Crestwood, Petworth",38.93607,-77.02519
"Howard University, Le Droit Park, Cardozo/Shaw",38.92034,-77.03001
"Howard University, Le Droit Park, Cardozo/Shaw",38.91763,-77.01569
"Capitol Hill, Lincoln Park",38.89086,-77.00007
"Shaw, Logan Circle",38.91219,-77.01922
"Congress Heights, Bellevue, Washington Highlands",38.83922,-77.00308
"Georgetown, Burleith/Hillandale",38.90997,-77.05125
"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.92709,-77.05468
"Capitol Hill, Lincoln Park",38.89053,-77.00008
